symbol,name,industry,sector,market_cap,exchange
DHANFAB,Dhanlaxmi Fabrics Limited,Unknown,Unknown,566610048,BSE
SLSTLQ,Sri Lakshmi Saraswathi Textiles (Arni) Limited,Unknown,Unknown,123311752,BSE
ZODIACLOTH,Zodiac Clothing Company Limited,Apparel Manufacturing,Consumer Cyclical,3285603840,BSE
SRMCL,Sri Ramakrishna Mills (Coimbatore) Limited,Unknown,Unknown,639510720,BSE
SUPERSPIN,Super Spinning Mills Limited,Textile Manufacturing,Consumer Cyclical,659449984,BSE
SILINV,SIL Investments Limited,Asset Management,Financial Services,6306149888,BSE
SURYALAXMI,Suryalakshmi Cotton Mills Limited,Textile Manufacturing,Consumer Cyclical,1707333248,BSE
SAMTEX,Samtex Fashions Limited,Unknown,Unknown,212324992,BSE
CITYMAN,Unknown,Unknown,Unknown,0,BSE
DHANROTO,Dhanalaxmi Roto Spinners Limited,Unknown,Unknown,936072000,BSE
DAMODARIND,Unknown,Textile Manufacturing,Consumer Cyclical,1065742016,BSE
SANBLUE,Sanblue Corporation Limited,Unknown,Unknown,253678704,BSE
UNIROYAL,Uniroyal Industries Limited,Unknown,Unknown,183979024,BSE
TATIAGLOB,Tatia Global Vennture Limited,Unknown,Unknown,513991808,BSE
SUNILTX,Sunil Industries Limited,Unknown,Unknown,260820000,BSE
SRINACHA,Sri Nachammai Cotton Mills Limited,Unknown,Unknown,160906000,BSE
